,game_id,player_id,position,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Team_abbrev,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_yds_bonus,rush_yds_bonus,rec_yds_bonus,Total_DKP,Off_DKP,Total_FDP,Off_FDP,Total_SDP,Off_SDP,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,offense,off_pct,vis_team,home_team,vis_score,home_score,OT,game_date,cowboys_score,cowboys_win,point_difference
5795,201912290dal,PresDa01,QB,Dak Prescott,DAL,23,33,303,4,0,3,9,48,138,3,35,0,23,0,0,0,0,0,1,1,2,39,37,2,DAL,WAS,0,0,0,1,0,0,33.62,33.62,29.62,29.62,31.62,31.62,206,3,7,0,21,14,1,0,0,0,75,99,WAS,DAL,16,47,FALSE,12/29/2019,47,win,31
6583,202009130ram,PresDa01,QB,Dak Prescott,DAL,25,39,266,1,0,3,22,33,92.5,3,30,0,12,0,0,0,0,0,0,3,0,45,45,0,DAL,LAR,0,0,0,0,0,0,17.64,17.64,17.64,17.64,17.64,17.64,283,6,8,4,16,14,1,0,0,0,72,100,DAL,LAR,17,20,FALSE,9/13/2020,17,lose,3
6833,202009200dal,PresDa01,QB,Dak Prescott,DAL,34,47,450,1,0,1,5,58,109.4,5,18,3,11,0,0,0,0,0,1,1,4,53,49,4,DAL,ATL,0,0,0,1,0,0,43.8,43.8,39.8,39.8,41.8,41.8,371,7,10,5,12,6,0,0,0,0,80,98,ATL,DAL,39,40,FALSE,9/20/2020,40,win,1
7472,202009270sea,PresDa01,QB,Dak Prescott,DAL,37,57,472,3,2,2,11,52,93.6,6,26,0,9,0,0,0,0,0,1,3,3,65,62,3,DAL,SEA,0,0,0,1,0,0,33.48,33.48,27.48,27.48,31.48,31.48,458,6,24,2,25,1,0,0,0,0,82,100,DAL,SEA,31,38,FALSE,9/27/2020,31,lose,7
7632,202010040dal,PresDa01,QB,Dak Prescott,DAL,41,58,502,4,1,3,21,43,112.9,2,12,0,11,0,0,0,0,0,1,1,1,63,62,1,DAL,CLE,2,0,0,1,0,0,42.28,42.28,37.28,37.28,40.28,40.28,511,10,18,11,9,3,0,0,0,0,82,100,CLE,DAL,49,38,FALSE,10/4/2020,38,lose,11
7972,202010110dal,PresDa01,QB,Dak Prescott,DAL,14,21,166,0,1,1,7,26,70.7,2,7,0,9,1,1,11,1,11,0,0,2,24,22,2,DAL,NYG,0,0,0,0,0,0,14.44,14.44,12.94,12.94,13.94,13.94,139,4,6,1,3,4,1,10,1,0,44,67,NYG,DAL,34,37,FALSE,10/11/2020,37,win,3
7973,202010110dal,DaltAn00,QB,Andy Dalton,DAL,9,11,111,0,0,1,5,38,108.7,1,0,0,0,0,0,0,0,0,1,0,1,13,12,1,DAL,NYG,0,0,0,0,0,0,3.44,3.44,2.44,2.44,2.44,2.44,88,0,2,1,0,0,0,0,0,0,22,33,NYG,DAL,34,37,FALSE,10/11/2020,37,win,3
8569,202010190dal,DaltAn00,QB,Andy Dalton,DAL,34,54,266,1,2,3,19,27,65.8,2,4,0,2,0,0,0,0,0,0,2,0,59,59,0,DAL,ARI,0,0,0,0,0,0,13.04,13.04,11.04,11.04,13.04,13.04,301,7,22,2,4,0,0,0,0,0,86,97,ARI,DAL,38,10,FALSE,10/19/2020,10,lose,28
8883,202010250was,DaltAn00,QB,Andy Dalton,DAL,9,19,75,0,1,3,30,18,36.1,3,16,0,6,0,0,0,0,0,0,3,0,25,25,0,DAL,WAS,0,0,0,0,0,0,3.6,3.6,2.6,2.6,3.6,3.6,124,2,8,1,12,4,0,0,0,0,45,79,DAL,WAS,3,25,FALSE,10/25/2020,3,lose,22
9182,202011010phi,DiNuBe00,QB,Ben DiNucci,DAL,21,40,180,0,0,4,48,15,64.6,5,22,0,10,0,0,0,0,0,2,1,4,49,45,4,DAL,PHI,0,0,0,0,0,0,7.4,7.4,5.4,5.4,5.4,5.4,313,12,14,7,22,0,0,0,0,0,79,100,DAL,PHI,9,23,FALSE,11/1/2020,9,lose,14
9409,202011080dal,GilbGa01,QB,Garrett Gilbert,DAL,21,38,243,1,1,2,23,32,72.6,3,28,0,15,0,0,0,0,0,0,2,1,43,42,1,DAL,PIT,0,0,0,0,0,0,15.52,15.52,14.52,14.52,15.52,15.52,348,11,17,10,13,15,1,0,0,0,72,100,PIT,DAL,24,19,FALSE,11/8/2020,19,lose,5
10145,202011220min,DaltAn00,QB,Andy Dalton,DAL,22,32,203,3,1,1,7,32,104,3,5,0,7,1,1,-3,0,-3,0,1,2,36,34,2,DAL,MIN,0,0,0,0,0,0,20.32,20.32,18.82,18.82,19.82,19.82,206,3,8,1,5,0,0,-7,4,0,66,100,DAL,MIN,31,28,FALSE,11/22/2020,31,win,3
10310,202011260dal,DaltAn00,QB,Andy Dalton,DAL,25,35,215,1,1,3,24,54,84.8,3,17,0,11,0,0,0,0,0,0,2,1,41,40,1,DAL,WAS,0,0,0,0,0,0,13.3,13.3,12.3,12.3,13.3,13.3,209,4,17,0,17,0,0,0,0,0,59,100,WAS,DAL,41,16,FALSE,11/26/2020,16,lose,25
11044,202012080rav,DaltAn00,QB,Andy Dalton,DAL,31,48,285,2,1,1,8,28,85.9,1,2,0,2,0,0,0,0,0,0,0,1,50,49,1,DAL,BAL,0,0,0,0,0,0,18.6,18.6,17.6,17.6,18.6,18.6,453,10,14,4,1,1,0,0,0,0,79,100,DAL,BAL,17,34,FALSE,12/8/2020,17,lose,17
11170,202012130cin,DaltAn00,QB,Andy Dalton,DAL,16,23,185,2,0,2,14,32,122.6,1,-1,0,-1,0,0,0,0,0,0,0,1,26,25,1,DAL,CIN,0,0,0,0,0,0,15.3,15.3,15.3,15.3,15.3,15.3,186,1,10,0,-1,0,0,0,0,0,51,100,DAL,CIN,30,7,FALSE,12/13/2020,30,win,23
11621,202012200dal,DaltAn00,QB,Andy Dalton,DAL,19,33,209,2,0,2,17,45,96.7,2,8,0,6,0,0,0,0,0,0,2,0,37,37,0,DAL,SFO,0,0,0,0,0,0,17.16,17.16,17.16,17.16,17.16,17.16,214,7,16,3,6,2,0,0,0,0,58,100,SFO,DAL,33,41,FALSE,12/20/2020,41,win,8
11976,202012270dal,DaltAn00,QB,Andy Dalton,DAL,22,30,377,3,1,2,15,69,134.7,5,15,0,9,0,0,0,0,0,0,1,4,37,33,4,DAL,PHI,0,0,0,1,0,0,30.58,30.58,26.58,26.58,29.58,29.58,238,5,7,0,15,0,0,0,0,0,70,100,PHI,DAL,17,37,FALSE,12/27/2020,37,win,20
12542,202101030nyg,DaltAn00,QB,Andy Dalton,DAL,29,47,244,0,1,6,45,21,66.3,7,48,0,13,0,0,0,0,0,0,4,3,60,57,3,DAL,NYG,0,0,0,0,0,0,13.56,13.56,12.56,12.56,13.56,13.56,258,9,14,2,42,6,0,0,0,0,83,100,DAL,NYG,19,23,FALSE,1/3/2021,19,lose,4
12960,202109090tam,PresDa01,QB,Dak Prescott,DAL,42,58,403,3,1,1,12,31,101.4,4,13,0,7,0,0,0,0,0,0,3,1,63,62,1,DAL,TAM,0,0,0,1,0,0,31.42,31.42,27.42,27.42,30.42,30.42,385,9,32,2,8,5,0,0,0,0,83,99,DAL,TAM,29,31,FALSE,9/9/2021,29,lose,2
13652,202109190sdg,PresDa01,QB,Dak Prescott,DAL,23,27,237,0,1,1,10,48,87.8,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,DAL,LAC,0,0,0,0,0,0,8.48,8.48,7.48,7.48,8.48,8.48,137,1,5,0,0,0,0,0,0,0,62,100,DAL,LAC,20,17,FALSE,9/19/2021,20,win,3
14119,202109270dal,PresDa01,QB,Dak Prescott,DAL,21,26,238,3,0,4,18,44,143.3,9,6,0,5,0,0,0,0,0,1,2,7,39,32,7,DAL,PHI,0,0,0,0,0,0,21.12,21.12,20.12,20.12,20.12,20.12,232,2,5,4,0,6,0,0,0,0,73,96,PHI,DAL,21,41,FALSE,9/27/2021,41,win,20
14253,202110030dal,PresDa01,QB,Dak Prescott,DAL,14,22,188,4,0,0,0,35,130.3,4,35,0,21,0,0,0,0,0,0,1,3,26,23,3,DAL,CAR,0,0,0,0,0,0,27.02,27.02,27.02,27.02,27.02,27.02,157,4,14,0,35,0,0,0,0,0,61,100,CAR,DAL,28,36,FALSE,10/3/2021,36,win,8
